"Date","Price","Open","High","Low","Vol.","Change %"
"15-07-2022","285.35","287.00","287.00","283.25","1.66M","0.58%"
"14-07-2022","283.70","284.00","288.00","280.00","6.47M","4.44%"
"13-07-2022","271.65","271.00","273.15","268.50","780.30K","1.46%"
"12-07-2022","267.75","272.85","273.45","266.25","779.19K","-1.34%"
"11-07-2022","271.40","263.05","271.90","263.05","761.61K","3.17%"
"08-07-2022","263.05","266.70","266.70","261.10","981.00K","2.55%"
"07-07-2022","256.50","248.45","257.90","248.45","589.22K","3.83%"
"06-07-2022","247.05","247.90","249.00","242.05","356.75K","-0.62%"
"05-07-2022","248.60","248.35","251.75","248.00","277.98K","0.30%"
"04-07-2022","247.85","248.45","253.00","245.80","332.38K","0.12%"
"01-07-2022","247.55","246.00","249.00","245.35","310.47K","-0.72%"
"30-06-2022","249.35","253.50","255.45","248.55","249.34K","-1.64%"
"29-06-2022","253.50","250.50","257.00","248.50","491.02K","0.92%"
"28-06-2022","251.20","246.40","252.50","246.10","298.40K","2.07%"
"27-06-2022","246.10","250.00","251.75","245.30","735.02K","-0.18%"
"24-06-2022","246.55","252.40","256.75","245.10","798.77K","-1.52%"
"23-06-2022","250.35","248.20","252.25","246.00","395.88K","1.11%"
"22-06-2022","247.60","262.00","262.25","245.25","668.13K","-6.05%"
"21-06-2022","263.55","259.10","267.15","258.05","634.83K","2.27%"
"20-06-2022","257.70","268.00","268.50","253.45","584.57K","-3.07%"
"17-06-2022","265.85","274.85","275.95","262.90","543.48K","-3.34%"
"16-06-2022","275.05","284.00","290.85","270.00","969.37K","-2.08%"
"15-06-2022","280.90","280.00","289.10","278.15","543.38K","1.32%"
"14-06-2022","277.25","276.40","287.10","271.10","589.71K","-1.18%"
"13-06-2022","280.55","284.05","288.00","276.25","586.01K","-3.14%"
"10-06-2022","289.65","292.45","297.95","287.85","1.03M","-0.96%"
"09-06-2022","292.45","295.20","300.00","291.45","514.99K","-1.76%"
"08-06-2022","297.70","302.80","302.85","297.20","261.21K","-1.36%"
"07-06-2022","301.80","299.90","307.00","299.90","607.06K","0.75%"
"06-06-2022","299.55","299.50","301.30","296.65","154.74K","-0.05%"
"03-06-2022","299.70","307.40","308.60","298.85","344.10K","-1.99%"
"02-06-2022","305.80","309.00","310.00","304.35","264.48K","-1.35%"
"01-06-2022","310.00","304.00","311.65","303.05","708.30K","3.01%"
"31-05-2022","300.95","297.85","304.50","296.00","382.71K","0.89%"
"30-05-2022","298.30","299.30","299.60","296.65","247.36K","0.67%"
"27-05-2022","296.30","302.40","303.00","295.40","439.60K","-0.97%"
"26-05-2022","299.20","309.50","315.00","295.10","1.75M","-1.74%"
"25-05-2022","304.50","295.50","318.00","290.20","5.95M","3.08%"
"24-05-2022","295.40","300.00","304.95","292.30","365.79K","-1.29%"
"23-05-2022","299.25","292.00","300.00","286.20","741.14K","1.91%"
"20-05-2022","293.65","291.15","296.85","290.10","591.65K","2.87%"
"19-05-2022","285.45","286.90","290.70","282.70","339.23K","-1.91%"
"18-05-2022","291.00","297.00","298.00","290.35","371.42K","-0.95%"
"17-05-2022","293.80","286.50","296.30","284.25","821.54K","4.09%"
"16-05-2022","282.25","284.70","288.30","278.95","448.90K","-0.81%"
"13-05-2022","284.55","289.00","294.55","283.00","415.66K","-0.56%"
"12-05-2022","286.15","292.35","293.30","285.15","548.95K","-3.15%"
